"","subject","term","marks","group","city","modules","subject_taught"
"102","per102","first_term",33,"treatment","lagos","chemistry","1"
"103","per103","first_term",44,"treatment","lagos","chemistry","1"
"104","per104","first_term",49,"treatment","lagos","chemistry","2"
"105","per105","first_term",36,"treatment","lagos","physics","2"
"106","per106","first_term",47,"treatment","lagos","physics","2"
"107","per1","second_term",40,"treatment","jigawa","physics","2"
"108","per2","second_term",65,"treatment","jigawa","physics","2"
"109","per3","second_term",80,"treatment","jigawa","physics","2"
"110","per4","second_term",65,"treatment","jigawa","physics","2"
"111","per5","second_term",32,"treatment","jigawa","physics","2"
"112","per6","second_term",60,"treatment","jigawa","physics","2"
"113","per7","second_term",26,"treatment","jigawa","physics","2"
"114","per8","second_term",47,"treatment","jigawa","physics","2"
"115","per9","second_term",50,"treatment","jigawa","physics","2"
"116","per10","second_term",74,"treatment","jigawa","physics","2"
"117","per11","second_term",41,"treatment","jigawa","physics","2"
"118","per12","second_term",37,"treatment","jigawa","physics","2"
"119","per13","second_term",31,"treatment","jigawa","physics","2"
"120","per14","second_term",71,"control","jigawa","physics","2"
"121","per15","second_term",30,"control","jigawa","physics","2"
"122","per16","second_term",46,"control","jigawa","physics","2"
"123","per17","second_term",43,"control","jigawa","physics","2"
"124","per18","second_term",84,"control","jigawa","physics","2"
"125","per19","second_term",25,"control","jigawa","physics","2"
"126","per20","second_term",32,"treatment","jigawa","chemistry","2"
"127","per21","second_term",57,"treatment","jigawa","chemistry","2"
"128","per22","second_term",55,"treatment","jigawa","chemistry","2"
"129","per23","second_term",54,"treatment","jigawa","chemistry","2"
"130","per24","second_term",39,"treatment","jigawa","chemistry","2"
"131","per25","second_term",29,"treatment","jigawa","chemistry","2"
"132","per26","second_term",46,"treatment","jigawa","chemistry","2"
"133","per27","second_term",25,"treatment","jigawa","chemistry","2"
"134","per28","second_term",24,"treatment","jigawa","chemistry","2"
"135","per29","second_term",39,"control","jigawa","chemistry","2"
"136","per30","second_term",32,"control","jigawa","chemistry","2"
"137","per31","second_term",42,"control","jigawa","chemistry","2"
"138","per32","second_term",26,"treatment","kano","physics","2"
"139","per33","second_term",47,"control","kano","chemistry","1"
"140","per34","second_term",36,"control","kano","chemistry","1"
"141","per35","second_term",31,"control","kano","chemistry","1"
"142","per36","second_term",25,"control","kano","chemistry","1"
"143","per37","second_term",25,"control","kano","chemistry","1"
"144","per38","second_term",18,"control","kano","chemistry","1"
"145","per39","second_term",28,"treatment","kano","chemistry","2"
"146","per40","second_term",9,"treatment","kano","chemistry","2"
"147","per41","second_term",71,"treatment","kano","chemistry","2"
"148","per42","second_term",63,"treatment","kano","chemistry","1"
"149","per43","second_term",70,"treatment","kano","chemistry","1"
"150","per44","second_term",66,"treatment","kano","chemistry","1"
"151","per45","second_term",75,"treatment","kano","chemistry","1"
"152","per46","second_term",60,"treatment","kano","chemistry","1"
"153","per47","second_term",62,"treatment","kano","physics","1"
"154","per48","second_term",57,"treatment","kano","physics","1"
"155","per49","second_term",62,"treatment","kano","physics","1"
"156","per50","second_term",61,"treatment","kano","physics","1"
"157","per51","second_term",47,"treatment","kano","physics","1"
"158","per52","second_term",21,"treatment","kano","physics","1"
"159","per53","second_term",48,"treatment","kano","physics","1"
"160","per54","second_term",50,"treatment","kano","physics","1"
"161","per55","second_term",44,"treatment","kano","physics","1"
"162","per56","second_term",80,"treatment","kano","physics","2"
"163","per57","second_term",44,"treatment","kano","physics","2"
"164","per58","second_term",57,"treatment","kano","physics","2"
"165","per59","second_term",36,"treatment","kano","physics","2"
"166","per60","second_term",72,"treatment","kano","physics","2"
"167","per61","second_term",45,"treatment","kano","physics","2"
"168","per62","second_term",55,"treatment","kano","physics","2"
"169","per63","second_term",24,"treatment","kano","chemistry","2"
"170","per64","second_term",22,"treatment","kano","chemistry","2"
"171","per65","second_term",32,"treatment","kano","chemistry","2"
"172","per66","second_term",53,"treatment","kano","chemistry","2"
"173","per67","second_term",47,"treatment","lagos","chemistry","1"
"174","per68","second_term",46,"treatment","lagos","chemistry","1"
"175","per69","second_term",43,"treatment","lagos","chemistry","1"
"176","per70","second_term",43,"treatment","lagos","chemistry","1"
"177","per71","second_term",42,"treatment","lagos","chemistry","1"
"178","per72","second_term",41,"treatment","lagos","chemistry","1"
"179","per73","second_term",50,"treatment","lagos","physics","2"
"180","per74","second_term",36,"treatment","lagos","physics","2"
"181","per75","second_term",48,"treatment","lagos","physics","2"
"182","per76","second_term",47,"treatment","lagos","physics","2"
"183","per77","second_term",47,"treatment","lagos","physics","2"
"184","per78","second_term",47,"treatment","lagos","physics","2"
"185","per79","second_term",46,"treatment","lagos","physics","2"
"186","per80","second_term",43,"treatment","lagos","physics","2"
"187","per81","second_term",42,"treatment","lagos","physics","2"
"188","per82","second_term",40,"treatment","lagos","physics","2"
"189","per83","second_term",39,"treatment","lagos","physics","2"
"190","per84","second_term",37,"treatment","lagos","physics","2"
"191","per85","second_term",37,"treatment","lagos","physics","2"
"192","per86","second_term",36,"treatment","lagos","physics","2"
"193","per87","second_term",34,"treatment","lagos","physics","2"
"194","per88","second_term",33,"treatment","lagos","physics","2"
"195","per89","second_term",33,"treatment","lagos","physics","2"
"196","per90","second_term",49,"control","lagos","physics","2"
"197","per91","second_term",39,"control","lagos","physics","2"
"198","per92","second_term",52,"treatment","lagos","physics","1"
"199","per93","second_term",55,"treatment","lagos","physics","1"
"200","per94","second_term",45,"treatment","lagos","physics","1"
"201","per95","second_term",54,"treatment","lagos","physics","1"
"202","per96","second_term",51,"control","lagos","physics","1"
"203","per97","second_term",46,"control","lagos","physics","1"
"204","per98","second_term",62,"treatment","lagos","chemistry","1"
"205","per99","second_term",53,"treatment","lagos","chemistry","1"
"206","per100","second_term",48,"treatment","lagos","chemistry","1"
"207","per101","second_term",45,"treatment","lagos","chemistry","1"
"208","per102","second_term",49,"treatment","lagos","chemistry","1"
"209","per103","second_term",27,"treatment","lagos","chemistry","1"
"210","per104","second_term",32,"treatment","lagos","chemistry","2"
"211","per105","second_term",55,"treatment","lagos","physics","2"
"212","per106","second_term",27,"treatment","lagos","physics","2"
"213","per1","third_term",66,"treatment","jigawa","physics","2"
"214","per2","third_term",54,"treatment","jigawa","physics","2"
"215","per3","third_term",80,"treatment","jigawa","physics","2"
"216","per4","third_term",55,"treatment","jigawa","physics","2"
"217","per5","third_term",28,"treatment","jigawa","physics","2"
"218","per6","third_term",53,"treatment","jigawa","physics","2"
"219","per7","third_term",25,"treatment","jigawa","physics","2"
"220","per8","third_term",56,"treatment","jigawa","physics","2"
"221","per9","third_term",48,"treatment","jigawa","physics","2"
"222","per10","third_term",69,"treatment","jigawa","physics","2"
"223","per11","third_term",61,"treatment","jigawa","physics","2"
"224","per12","third_term",37,"treatment","jigawa","physics","2"
"225","per13","third_term",61,"treatment","jigawa","physics","2"
"226","per14","third_term",51,"control","jigawa","physics","2"
"227","per15","third_term",26,"control","jigawa","physics","2"
"228","per16","third_term",40,"control","jigawa","physics","2"
"229","per17","third_term",60,"control","jigawa","physics","2"
"230","per18","third_term",75,"control","jigawa","physics","2"
"231","per19","third_term",11,"control","jigawa","physics","2"
"232","per20","third_term",31,"treatment","jigawa","chemistry","2"
"233","per21","third_term",82,"treatment","jigawa","chemistry","2"
"234","per22","third_term",72,"treatment","jigawa","chemistry","2"
"235","per23","third_term",55,"treatment","jigawa","chemistry","2"
"236","per24","third_term",61,"treatment","jigawa","chemistry","2"
"237","per25","third_term",64,"treatment","jigawa","chemistry","2"
"238","per26","third_term",58,"treatment","jigawa","chemistry","2"
"239","per27","third_term",41,"treatment","jigawa","chemistry","2"
"240","per28","third_term",37,"treatment","jigawa","chemistry","2"
"241","per29","third_term",57,"control","jigawa","chemistry","2"
"242","per30","third_term",51,"control","jigawa","chemistry","2"
"243","per31","third_term",65,"control","jigawa","chemistry","2"
"244","per32","third_term",46,"treatment","kano","physics","2"
"245","per33","third_term",85,"control","kano","chemistry","1"
"246","per34","third_term",63,"control","kano","chemistry","1"
"247","per35","third_term",28,"control","kano","chemistry","1"
"248","per36","third_term",82,"control","kano","chemistry","1"
"249","per37","third_term",89,"control","kano","chemistry","1"
"250","per38","third_term",66,"control","kano","chemistry","1"
"251","per39","third_term",45,"treatment","kano","chemistry","2"
"252","per40","third_term",40,"treatment","kano","chemistry","2"
"253","per41","third_term",38,"treatment","kano","chemistry","2"
"254","per42","third_term",59,"treatment","kano","chemistry","1"
"255","per43","third_term",65,"treatment","kano","chemistry","1"
"256","per44","third_term",52,"treatment","kano","chemistry","1"
"257","per45","third_term",55,"treatment","kano","chemistry","1"
"258","per46","third_term",NA,"treatment","kano","chemistry","1"
